iter	Passed	Remaining
0	158	158788
1	161	80354
2	168	56051
3	170	42567
4	173	34529
5	175	29123
6	184	26170
7	215	26716
8	217	23991
9	220	21815
10	222	20002
11	240	19826
12	249	18956
13	252	17808
14	256	16817
15	266	16394
16	284	16455
17	298	16289
18	301	15564
19	304	14908
20	318	14867
21	333	14804
22	335	14249
23	352	14340
24	383	14944
25	399	14978
26	411	14816
27	414	14394
28	426	14280
29	431	13944
30	435	13626
31	438	13258
32	440	12900
33	449	12780
34	453	12510
35	456	12218
36	468	12198
37	478	12119
38	485	11958
39	496	11920
40	517	12110
41	529	12085
42	533	11866
43	543	11810
44	547	11609
45	550	11406
46	563	11433
47	571	11337
48	574	11150
49	576	10955
50	587	10929
51	590	10770
52	593	10602
53	596	10457
54	605	10408
55	609	10268
56	611	10117
57	619	10066
58	624	9961
59	627	9837
60	632	9736
61	649	9832
62	661	9836
63	676	9891
64	683	9835
65	697	9866
66	749	10440
67	784	10756
68	836	11282
69	869	11549
70	950	12439
71	969	12495
72	984	12503
73	1095	13704
74	1116	13766
75	1173	14265
76	1266	15186
77	1289	15241
78	1301	15177
79	1333	15334
80	1351	15338
81	1388	15548
82	1390	15360
83	1428	15580
84	1512	16277
85	1532	16283
86	1561	16384
87	1578	16356
88	1591	16294
89	1595	16128
90	1606	16047
91	1609	15880
92	1660	16192
93	1698	16372
94	1727	16453
95	1766	16634
96	1786	16627
97	1816	16715
98	1832	16675
99	1843	16592
100	1846	16439
101	1892	16662
102	1898	16533
103	1906	16422
104	1908	16270
105	1916	16163
106	1925	16070
107	1935	15982
108	1949	15932
109	1952	15793
110	1954	15655
111	1967	15596
112	1997	15677
113	2000	15548
114	2003	15421
115	2017	15371
116	2019	15238
117	2021	15109
118	2028	15017
119	2034	14916
120	2043	14843
121	2045	14718
122	2048	14602
123	2050	14486
124	2062	14437
125	2078	14417
126	2080	14299
127	2088	14226
128	2112	14266
129	2115	14156
130	2125	14097
131	2141	14080
132	2146	13990
133	2159	13954
134	2161	13850
135	2173	13808
136	2177	13719
137	2192	13692
138	2202	13641
139	2205	13545
140	2207	13450
141	2209	13351
142	2221	13313
143	2226	13232
144	2234	13174
145	2247	13147
146	2249	13055
147	2259	13010
148	2262	12919
149	2265	12837
150	2274	12787
151	2277	12706
152	2288	12669
153	2291	12587
154	2294	12511
155	2297	12430
156	2302	12363
157	2305	12286
158	2308	12212
159	2316	12163
160	2324	12115
161	2329	12050
162	2331	11974
163	2342	11940
164	2344	11866
165	2346	11791
166	2349	11717
167	2353	11656
168	2355	11583
169	2361	11528
170	2365	11468
171	2368	11399
172	2371	11334
173	2377	11287
174	2379	11218
175	2381	11150
176	2383	11082
177	2385	11017
178	2387	10952
179	2391	10896
180	2394	10835
181	2396	10773
182	2399	10712
183	2408	10683
184	2411	10622
185	2413	10562
186	2415	10501
187	2418	10444
188	2420	10385
189	2422	10328
190	2429	10288
191	2432	10235
192	2434	10178
193	2436	10122
194	2438	10065
195	2445	10033
196	2450	9986
197	2453	9937
198	2463	9915
199	2465	9861
200	2467	9808
201	2470	9758
202	2480	9737
203	2494	9734
204	2499	9692
205	2501	9643
206	2510	9617
207	2513	9571
208	2515	9521
209	2517	9471
210	2527	9452
211	2530	9404
212	2532	9357
213	2539	9326
214	2541	9280
215	2545	9237
216	2553	9214
217	2557	9173
218	2559	9127
219	2561	9081
220	2564	9040
221	2570	9009
222	2573	8966
223	2575	8922
224	2587	8913
225	2590	8870
226	2592	8827
227	2602	8813
228	2605	8772
229	2614	8751
230	2616	8709
231	2618	8668
232	2620	8627
233	2623	8586
234	2635	8580
235	2639	8545
236	2654	8545
237	2656	8505
238	2660	8472
239	2668	8451
240	2671	8413
241	2674	8377
242	2683	8360
243	2686	8324
244	2690	8290
245	2697	8267
246	2700	8233
247	2705	8204
248	2713	8185
249	2716	8149
250	2719	8113
251	2720	8076
252	2732	8067
253	2745	8064
254	2748	8029
255	2750	7994
256	2754	7962
257	2763	7946
258	2765	7912
259	2767	7877
260	2778	7866
261	2780	7832
262	2783	7801
263	2794	7791
264	2799	7765
265	2816	7772
266	2826	7759
267	2830	7731
268	2834	7701
269	2838	7674
270	2841	7642
271	2843	7610
272	2845	7578
273	2854	7563
274	2858	7536
275	2860	7504
276	2870	7493
277	2876	7470
278	2885	7456
279	2888	7427
280	2899	7419
281	2910	7410
282	2918	7393
283	2922	7367
284	2926	7341
285	2938	7335
286	2941	7307
287	2951	7297
288	2953	7267
289	2957	7239
290	2965	7225
291	2968	7198
292	2971	7169
293	2973	7141
294	2980	7121
295	2984	7097
296	2996	7091
297	2998	7064
298	3009	7054
299	3015	7035
300	3026	7029
301	3029	7001
302	3032	6975
303	3044	6970
304	3057	6966
305	3060	6940
306	3062	6913
307	3076	6912
308	3079	6887
309	3089	6877
310	3094	6854
311	3104	6846
312	3107	6820
313	3110	6796
314	3122	6789
315	3125	6765
316	3127	6739
317	3137	6728
318	3139	6702
319	3141	6675
320	3143	6648
321	3150	6634
322	3154	6611
323	3156	6586
324	3167	6579
325	3173	6560
326	3188	6562
327	3204	6565
328	3212	6552
329	3215	6529
330	3220	6508
331	3247	6534
332	3251	6511
333	3252	6486
334	3261	6475
335	3265	6453
336	3268	6429
337	3276	6417
338	3279	6394
339	3282	6371
340	3293	6365
341	3297	6343
342	3304	6330
343	3308	6309
344	3310	6285
345	3314	6264
346	3323	6255
347	3327	6233
348	3330	6211
349	3337	6198
350	3340	6177
351	3342	6154
352	3344	6130
353	3351	6116
354	3356	6098
355	3358	6076
356	3360	6053
357	3370	6044
358	3372	6022
359	3374	5999
360	3376	5977
361	3384	5964
362	3386	5942
363	3388	5921
364	3390	5899
365	3398	5887
366	3407	5877
367	3417	5869
368	3419	5848
369	3423	5829
370	3433	5820
371	3435	5799
372	3437	5778
373	3446	5769
374	3449	5748
375	3451	5728
376	3455	5709
377	3461	5695
378	3476	5696
379	3479	5676
380	3481	5656
381	3484	5636
382	3495	5631
383	3497	5611
384	3503	5596
385	3507	5579
386	3509	5559
387	3514	5543
388	3517	5524
389	3519	5504
390	3521	5484
391	3523	5465
392	3533	5458
393	3536	5439
394	3539	5421
395	3549	5414
396	3552	5395
397	3554	5376
398	3562	5365
399	3565	5347
400	3567	5329
401	3569	5309
402	3576	5298
403	3580	5281
404	3583	5264
405	3585	5245
406	3596	5240
407	3598	5221
408	3610	5216
409	3613	5199
410	3614	5180
411	3617	5163
412	3625	5153
413	3629	5137
414	3631	5118
415	3633	5100
416	3643	5093
417	3645	5076
418	3659	5074
419	3666	5063
420	3671	5048
421	3673	5031
422	3677	5016
423	3685	5006
424	3726	5042
425	3740	5039
426	3753	5036
427	3756	5020
428	3765	5011
429	3767	4994
430	3770	4977
431	3772	4960
432	3783	4954
433	3789	4942
434	3801	4937
435	3805	4922
436	3814	4913
437	3817	4897
438	3818	4880
439	3821	4863
440	3825	4849
441	3829	4834
442	3841	4830
443	3844	4814
444	3847	4798
445	3850	4782
446	3853	4767
447	3855	4750
448	3868	4746
449	3875	4737
450	3882	4726
451	3893	4720
452	3898	4707
453	3901	4691
454	3913	4687
455	3919	4675
456	3922	4660
457	3924	4644
458	3936	4639
459	3941	4627
460	3955	4624
461	3984	4640
462	3992	4630
463	4004	4626
464	4017	4622
465	4021	4608
466	4033	4603
467	4036	4588
468	4039	4573
469	4051	4568
470	4055	4554
471	4064	4547
472	4067	4532
473	4070	4517
474	4084	4514
475	4097	4510
476	4099	4494
477	4103	4480
478	4112	4473
479	4115	4458
480	4126	4452
481	4131	4439
482	4134	4425
483	4145	4419
484	4161	4418
485	4193	4435
486	4208	4433
487	4228	4436
488	4255	4447
489	4258	4432
490	4260	4417
491	4270	4409
492	4274	4395
493	4288	4392
494	4294	4380
495	4303	4373
496	4307	4359
497	4309	4343
498	4313	4330
499	4317	4317
500	4320	4302
501	4322	4288
502	4325	4273
503	4340	4271
504	4353	4267
505	4355	4252
506	4357	4237
507	4360	4223
508	4363	4208
509	4365	4194
510	4367	4179
511	4382	4177
512	4393	4170
513	4395	4156
514	4398	4142
515	4411	4137
516	4414	4124
517	4426	4118
518	4428	4104
519	4431	4090
520	4436	4078
521	4440	4066
522	4443	4052
523	4445	4038
524	4454	4030
525	4457	4016
526	4458	4002
527	4461	3987
528	4469	3979
529	4473	3966
530	4483	3960
531	4486	3946
532	4489	3933
533	4491	3919
534	4494	3906
535	4496	3892
536	4500	3880
537	4503	3867
538	4505	3853
539	4513	3845
540	4520	3835
541	4530	3828
542	4532	3814
543	4534	3800
544	4535	3786
545	4540	3775
546	4543	3762
547	4545	3749
548	4547	3735
549	4549	3722
550	4551	3708
551	4557	3698
552	4559	3685
553	4561	3672
554	4563	3659
555	4566	3646
556	4574	3638
557	4576	3625
558	4578	3611
559	4581	3599
560	4592	3593
561	4596	3582
562	4609	3577
563	4611	3564
564	4613	3552
565	4619	3542
566	4622	3529
567	4624	3516
568	4625	3504
569	4627	3491
570	4638	3485
571	4641	3472
572	4643	3460
573	4645	3447
574	4655	3441
575	4658	3428
576	4659	3416
577	4666	3406
578	4669	3394
579	4671	3382
580	4674	3371
581	4682	3363
582	4687	3353
583	4690	3341
584	4702	3335
585	4706	3325
586	4717	3318
587	4719	3306
588	4722	3295
589	4731	3288
590	4735	3277
591	4737	3265
592	4739	3253
593	4768	3259
594	4770	3247
595	4817	3265
596	4828	3259
597	4834	3250
598	4846	3244
599	4849	3233
600	4851	3220
601	4862	3215
602	4913	3234
603	4923	3228
604	4927	3216
605	4929	3204
606	4941	3199
607	4944	3188
608	4947	3176
609	4956	3169
610	4959	3157
611	4973	3152
612	4985	3147
613	4990	3137
614	5005	3133
615	5018	3128
616	5021	3116
617	5029	3108
618	5032	3097
619	5036	3086
620	5044	3078
621	5047	3067
622	5051	3056
623	5060	3049
624	5064	3038
625	5067	3027
626	5079	3021
627	5084	3012
628	5089	3002
629	5092	2990
630	5104	2984
631	5107	2973
632	5116	2966
633	5118	2955
634	5120	2943
635	5124	2932
636	5133	2925
637	5136	2914
638	5138	2902
639	5140	2891
640	5148	2883
641	5150	2872
642	5153	2861
643	5155	2849
644	5163	2841
645	5166	2831
646	5168	2819
647	5172	2809
648	5178	2800
649	5181	2789
650	5183	2778
651	5185	2767
652	5196	2761
653	5199	2750
654	5213	2745
655	5218	2736
656	5227	2729
657	5230	2718
658	5232	2707
659	5234	2696
660	5238	2686
661	5246	2678
662	5259	2673
663	5262	2662
664	5278	2659
665	5287	2651
666	5290	2641
667	5294	2631
668	5304	2624
669	5306	2613
670	5322	2609
671	5324	2599
672	5327	2588
673	5336	2581
674	5338	2570
675	5341	2560
676	5349	2552
677	5352	2542
678	5356	2532
679	5361	2523
680	5364	2512
681	5367	2502
682	5381	2497
683	5387	2489
684	5399	2483
685	5402	2472
686	5419	2469
687	5428	2461
688	5430	2451
689	5433	2440
690	5435	2430
691	5446	2424
692	5448	2413
693	5451	2403
694	5461	2396
695	5466	2387
696	5477	2381
697	5481	2371
698	5483	2361
699	5491	2353
700	5499	2345
701	5502	2335
702	5504	2325
703	5505	2315
704	5515	2307
705	5517	2297
706	5519	2287
707	5521	2277
708	5529	2269
709	5532	2259
710	5534	2249
711	5536	2239
712	5542	2231
713	5546	2221
714	5549	2211
715	5550	2201
716	5552	2191
717	5563	2185
718	5565	2175
719	5567	2165
720	5569	2155
721	5580	2148
722	5585	2139
723	5589	2130
724	5591	2120
725	5594	2111
726	5602	2103
727	5604	2094
728	5608	2084
729	5611	2075
730	5621	2068
731	5625	2059
732	5627	2049
733	5634	2042
734	5636	2032
735	5638	2022
736	5641	2013
737	5643	2003
738	5650	1995
739	5652	1985
740	5653	1976
741	5657	1967
742	5672	1961
743	5682	1955
744	5687	1946
745	5703	1941
746	5706	1932
747	5716	1925
748	5718	1916
749	5720	1906
750	5722	1897
751	5725	1888
752	5727	1878
753	5729	1869
754	5731	1859
755	5733	1850
756	5735	1840
757	5743	1833
758	5744	1824
759	5746	1814
760	5748	1805
761	5750	1796
762	5753	1787
763	5755	1777
764	5757	1768
765	5759	1759
766	5765	1751
767	5768	1742
768	5770	1733
769	5773	1724
770	5782	1717
771	5785	1708
772	5788	1699
773	5789	1690
774	5799	1683
775	5801	1674
776	5803	1665
777	5805	1656
778	5813	1649
779	5816	1640
780	5818	1631
781	5819	1622
782	5821	1613
783	5832	1606
784	5834	1598
785	5836	1589
786	5846	1582
787	5848	1573
788	5850	1564
789	5859	1557
790	5862	1548
791	5864	1540
792	5867	1531
793	5874	1524
794	5877	1515
795	5879	1506
796	5883	1498
797	5893	1491
798	5896	1483
799	5898	1474
800	5905	1467
801	5907	1458
802	5909	1449
803	5911	1441
804	5912	1432
805	5914	1423
806	5918	1415
807	5923	1407
808	5936	1401
809	5939	1393
810	5948	1386
811	5950	1377
812	5953	1369
813	5963	1362
814	5971	1355
815	5985	1349
816	5998	1343
817	6001	1335
818	6011	1328
819	6016	1320
820	6018	1312
821	6027	1305
822	6029	1296
823	6031	1288
824	6034	1280
825	6043	1273
826	6046	1264
827	6048	1256
828	6051	1248
829	6054	1240
830	6056	1231
831	6058	1223
832	6067	1216
833	6069	1208
834	6082	1201
835	6085	1193
836	6088	1185
837	6093	1177
838	6095	1169
839	6104	1162
840	6107	1154
841	6109	1146
842	6112	1138
843	6120	1131
844	6123	1123
845	6125	1115
846	6135	1108
847	6139	1100
848	6142	1092
849	6145	1084
850	6148	1076
851	6151	1068
852	6153	1060
853	6160	1053
854	6162	1045
855	6172	1038
856	6175	1030
857	6178	1022
858	6187	1015
859	6190	1007
860	6192	999
861	6194	991
862	6203	984
863	6205	976
864	6206	968
865	6208	960
866	6210	952
867	6215	945
868	6218	937
869	6220	929
870	6229	922
871	6232	914
872	6234	906
873	6236	899
874	6239	891
875	6243	883
876	6245	875
877	6248	868
878	6250	860
879	6252	852
880	6261	845
881	6263	837
882	6265	830
883	6267	822
884	6277	815
885	6279	808
886	6281	800
887	6283	792
888	6288	785
889	6290	777
890	6292	769
891	6294	762
892	6296	754
893	6298	746
894	6301	739
895	6303	731
896	6304	723
897	6306	716
898	6308	708
899	6310	701
900	6314	693
901	6316	686
902	6330	680
903	6336	672
904	6343	665
905	6346	658
906	6348	650
907	6353	643
908	6360	636
909	6376	630
910	6394	624
911	6408	618
912	6424	612
913	6453	607
914	6469	601
915	6475	593
916	6485	587
917	6488	579
918	6504	573
919	6507	565
920	6514	558
921	6517	551
922	6523	544
923	6542	538
924	6546	530
925	6549	523
926	6563	516
927	6582	510
928	6606	504
929	6626	498
930	6652	493
931	6657	485
932	6672	479
933	6677	471
934	6690	465
935	6695	457
936	6704	450
937	6709	443
938	6731	437
939	6760	431
940	6793	425
941	6796	418
942	6809	411
943	6815	404
944	6820	396
945	6822	389
946	6838	382
947	6864	376
948	6914	371
949	6934	364
950	6962	358
951	6968	351
952	6982	344
953	6989	337
954	6993	329
955	6996	322
956	7008	314
957	7016	307
958	7033	300
959	7038	293
960	7046	285
961	7051	278
962	7074	271
963	7077	264
964	7080	256
965	7092	249
966	7097	242
967	7111	235
968	7113	227
969	7116	220
970	7121	212
971	7124	205
972	7127	197
973	7143	190
974	7147	183
975	7159	176
976	7176	168
977	7180	161
978	7193	154
979	7205	147
980	7211	139
981	7222	132
982	7224	124
983	7228	117
984	7239	110
985	7241	102
986	7244	95
987	7253	88
988	7255	80
989	7257	73
990	7259	65
991	7267	58
992	7287	51
993	7291	44
994	7298	36
995	7300	29
996	7303	21
997	7305	14
998	7307	7
999	7317	0
